날짜,분석단위,대상,기사수,키워드종수,누적빈도,긍정단어수,긍정총빈도,부정단어수,부정총빈도,감성지수,상위키워드TOP5,대표긍정어TOP3,대표부정어TOP3,인사이트
2026-09-12,종합,전체,900,1469,45900,40,2281,56,1785,12.2,후보자(612); 대통령(601); 의원(599); 미국(507); 기업(426),투자(289); 지원(250); 확대(183),의혹(198); 혐의(134); 논란(124),"전체: 기사 900건에서 키워드 1469종을 추출했고 상위 키워드는 '후보자'(612회), '대통령'(601회), '의원'(599회) 순입니다. 감성지수 +12.2로 긍정 어휘가 다소 우세합니다."
2026-09-12,신문사,데일리안,180,470,10534,23,658,18,362,29.0,대통령(233); 데일리안(208); 대표(155); 의원(132); 후보자(119),혜택(77); 투자(77); 지원(68),수사(78); 논란(59); 의혹(54),"데일리안: 기사 180건에서 키워드 470종을 추출했고 상위 키워드는 '대통령'(233회), '데일리안'(208회), '대표'(155회) 순입니다. 감성지수 +29.0로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-12,신문사,매일신문,180,526,9693,23,553,26,436,11.8,기업(155); 의원(143); 대통령(128); 안경(120); 후보자(112),지원(78); 투자(64); 확대(43),혐의(76); 재판(45); 의혹(41),"매일신문: 기사 180건에서 키워드 526종을 추출했고 상위 키워드는 '기업'(155회), '의원'(143회), '대통령'(128회) 순입니다. 감성지수 +11.8로 긍정 어휘가 다소 우세합니다."
2026-09-12,신문사,문화일보,180,503,7228,26,359,19,211,26.0,후보자(160); 의원(147); 대통령(119); 트럼프(110); 장관(102),확대(44); 투자(42); 계약(30),전쟁(31); 혐의(25); 의혹(21),"문화일보: 기사 180건에서 키워드 503종을 추출했고 상위 키워드는 '후보자'(160회), '의원'(147회), '대통령'(119회) 순입니다. 감성지수 +26.0로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-12,신문사,아시아경제,180,471,9349,16,498,17,276,28.7,시장(171); 미국(119); 일본(107); 정부(106); 사업(105),투자(97); 출시(48); 확대(48),참사(45); 위험(30); 유출(29),"아시아경제: 기사 180건에서 키워드 471종을 추출했고 상위 키워드는 '시장'(171회), '미국'(119회), '일본'(107회) 순입니다. 감성지수 +28.7로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-12,신문사,조선일보,180,515,9096,15,213,29,500,-40.3,후보자(159); 의원(149); 국민(132); 미국(115); 대통령(103),지원(44); 확대(23); 상승(23),의혹(74); 테러(50); 전쟁(49),"조선일보: 기사 180건에서 키워드 515종을 추출했고 상위 키워드는 '후보자'(159회), '의원'(149회), '국민'(132회) 순입니다. 감성지수 -40.3로 부정 어휘가 뚜렷하게 우세합니다."
2026-09-12,카테고리,IT과학,100,323,6506,23,613,6,74,78.5,기업(159); 기술(124); 연구(109); 개발(87); 반도체(85),지원(74); 출시(64); 선정(57),위험(19); 유출(15); 규제(14),"IT과학: 기사 100건에서 키워드 323종을 추출했고 상위 키워드는 '기업'(159회), '기술'(124회), '연구'(109회) 순입니다. 감성지수 +78.5로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-12,카테고리,경제,100,346,6388,23,622,7,90,74.7,시장(129); 기업(112); 금융(111); 투자(90); 회장(81),투자(90); 확대(74); 상승(70),부담(39); 참사(15); 위기(11),"경제: 기사 100건에서 키워드 346종을 추출했고 상위 키워드는 '시장'(129회), '기업'(112회), '금융'(111회) 순입니다. 감성지수 +74.7로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-12,카테고리,문화,100,368,4685,14,187,5,66,47.8,작가(75); 한국(63); 역사(62); 전시(61); 작품(54),전시(61); 축제(29); 최고(17),전쟁(18); 위험(17); 위기(13),"문화: 기사 100건에서 키워드 368종을 추출했고 상위 키워드는 '작가'(75회), '한국'(63회), '역사'(62회) 순입니다. 감성지수 +47.8로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-12,카테고리,사회,100,386,4623,8,92,25,371,-60.3,경찰(63); 혐의(62); 지역(59); 후보자(54); 서울(52),지원(45); 통과(8); 참여(8),혐의(62); 수사(43); 재판(30),"사회: 기사 100건에서 키워드 386종을 추출했고 상위 키워드는 '경찰'(63회), '혐의'(62회), '지역'(59회) 순입니다. 감성지수 -60.3로 부정 어휘가 뚜렷하게 우세합니다."
