날짜,분석단위,대상,기사수,키워드종수,누적빈도,긍정단어수,긍정총빈도,부정단어수,부정총빈도,감성지수,상위키워드TOP5,대표긍정어TOP3,대표부정어TOP3,인사이트
2026-09-01,종합,전체,900,1430,47302,43,2721,62,2062,13.8,대통령(680); 미국(530); 장관(517); 정부(453); 대표(406),지원(310); 확대(268); 투자(263),혐의(169); 실종(128); 사퇴(125),"전체: 기사 900건에서 키워드 1430종을 추출했고 상위 키워드는 '대통령'(680회), '미국'(530회), '장관'(517회) 순입니다. 감성지수 +13.8로 긍정 어휘가 다소 우세합니다."
2026-09-01,신문사,데일리안,180,499,10020,26,729,22,331,37.5,대통령(145); 데일리안(136); 금리(121); 지원(119); 장관(109),지원(119); 확대(88); 협력(56),실종(60); 피해(24); 사퇴(24),"데일리안: 기사 180건에서 키워드 499종을 추출했고 상위 키워드는 '대통령'(145회), '데일리안'(136회), '금리'(121회) 순입니다. 감성지수 +37.5로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-01,신문사,매일신문,180,485,9730,23,531,25,464,6.7,대통령(171); 지역(162); 장관(159); 대표(141); 후보자(141),지원(93); 투자(66); 확대(49),논란(61); 비판(47); 혐의(39),"매일신문: 기사 180건에서 키워드 485종을 추출했고 상위 키워드는 '대통령'(171회), '지역'(162회), '장관'(159회) 순입니다. 감성지수 +6.7로 긍정 어휘가 다소 우세합니다."
2026-09-01,신문사,문화일보,180,522,8616,19,291,30,412,-17.2,드론(219); 대통령(151); 미국(92); 러시아(84); 국민(75),안전(38); 투자(35); 지원(26),살상(48); 혐의(43); 사퇴(35),"문화일보: 기사 180건에서 키워드 522종을 추출했고 상위 키워드는 '드론'(219회), '대통령'(151회), '미국'(92회) 순입니다. 감성지수 -17.2로 부정 어휘가 다소 우세합니다."
2026-09-01,신문사,아시아경제,180,503,8954,24,603,15,218,46.9,시장(137); 미국(123); 장애인(106); 고객(100); 대통령(97),최대(56); 확대(55); 지원(52),전쟁(32); 규제(31); 부담(29),"아시아경제: 기사 180건에서 키워드 503종을 추출했고 상위 키워드는 '시장'(137회), '미국'(123회), '장애인'(106회) 순입니다. 감성지수 +46.9로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-01,신문사,조선일보,180,511,9982,24,567,29,637,-5.8,미국(186); 기업(142); 장관(137); 의원(119); 대통령(116),투자(85); 최대(64); 확대(52),수사(81); 혐의(65); 비판(36),"조선일보: 기사 180건에서 키워드 511종을 추출했고 상위 키워드는 '미국'(186회), '기업'(142회), '장관'(137회) 순입니다. 감성지수 -5.8로 부정 어휘가 다소 우세합니다."
2026-09-01,카테고리,IT과학,100,321,7001,20,649,7,84,77.1,기술(147); 기업(127); 국가(111); 투자(83); 확대(82),투자(83); 확대(82); 지원(55),규제(24); 부담(15); 갈등(13),"IT과학: 기사 100건에서 키워드 321종을 추출했고 상위 키워드는 '기술'(147회), '기업'(127회), '국가'(111회) 순입니다. 감성지수 +77.1로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-01,카테고리,경제,100,342,6972,21,691,9,176,59.4,금리(152); 기업(136); 시장(132); 투자(132); 미국(101),투자(132); 최대(73); 확대(66),규제(34); 부담(34); 하락(25),"경제: 기사 100건에서 키워드 342종을 추출했고 상위 키워드는 '금리'(152회), '기업'(136회), '시장'(132회) 순입니다. 감성지수 +59.4로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-01,카테고리,문화,100,390,5382,18,293,2,15,90.3,고객(70); 세계(62); 한국(61); 전기(61); 문화(60),공연(59); 지원(39); 전시(34),논란(8); 위험(7),"문화: 기사 100건에서 키워드 390종을 추출했고 상위 키워드는 '고객'(70회), '세계'(62회), '한국'(61회) 순입니다. 감성지수 +90.3로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-01,카테고리,사회,100,374,4715,22,348,18,306,6.4,경찰(84); 지역(78); 장애인(74); 지원(69); 혐의(69),지원(69); 안전(48); 취업(41),혐의(69); 수사(39); 실종(37),"사회: 기사 100건에서 키워드 374종을 추출했고 상위 키워드는 '경찰'(84회), '지역'(78회), '장애인'(74회) 순입니다. 감성지수 +6.4로 긍정 어휘가 다소 우세합니다."
