날짜,분석단위,대상,기사수,키워드종수,누적빈도,긍정단어수,긍정총빈도,부정단어수,부정총빈도,감성지수,상위키워드TOP5,대표긍정어TOP3,대표부정어TOP3,인사이트
2026-09-21,종합,전체,900,1457,50218,52,2276,49,1825,11.0,대통령(692); 서울(501); 한국(469); 미국(468); 후보자(459),지원(185); 상승(166); 확대(165),의혹(239); 사퇴(207); 수사(126),"전체: 기사 900건에서 키워드 1457종을 추출했고 상위 키워드는 '대통령'(692회), '서울'(501회), '한국'(469회) 순입니다. 감성지수 +11.0로 긍정 어휘가 다소 우세합니다."
2026-09-21,신문사,데일리안,180,488,11262,24,572,18,442,12.8,서울(183); 금리(168); 의원(156); 후보자(147); 데일리안(146),확대(88); 지원(47); 투자(47),사퇴(90); 의혹(87); 성추행(47),"데일리안: 기사 180건에서 키워드 488종을 추출했고 상위 키워드는 '서울'(183회), '금리'(168회), '의원'(156회) 순입니다. 감성지수 +12.8로 긍정 어휘가 다소 우세합니다."
2026-09-21,신문사,매일신문,180,503,9946,22,407,19,445,-4.5,대통령(197); 농지(117); 대구(116); 후보자(109); 반도체(104),지원(44); 감사(40); 확대(33),의혹(73); 취소(52); 사퇴(48),"매일신문: 기사 180건에서 키워드 503종을 추출했고 상위 키워드는 '대통령'(197회), '농지'(117회), '대구'(116회) 순입니다. 감성지수 -4.5로 긍정과 부정이 비슷한 수준합니다."
2026-09-21,신문사,문화일보,180,525,8818,28,375,19,359,2.2,대통령(126); 대표(102); 게임(94); 미국(93); 한국(93),지원(48); 투자(32); 참여(27),전쟁(56); 수사(53); 사퇴(46),"문화일보: 기사 180건에서 키워드 525종을 추출했고 상위 키워드는 '대통령'(126회), '대표'(102회), '게임'(94회) 순입니다. 감성지수 +2.2로 긍정과 부정이 비슷한 수준합니다."
2026-09-21,신문사,아시아경제,180,544,9668,27,504,13,181,47.2,기업(163); 발사(126); 구조(107); 서울(102); 조정(102),안전(60); 참여(45); 성장(43),위험(32); 부담(31); 부실(27),"아시아경제: 기사 180건에서 키워드 544종을 추출했고 상위 키워드는 '기업'(163회), '발사'(126회), '구조'(107회) 순입니다. 감성지수 +47.2로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-21,신문사,조선일보,180,531,10524,20,418,26,398,2.5,대통령(213); 미국(176); 정부(136); 한국(135); 지역(130),상승(65); 금메달(56); 배당(48),수사(52); 전쟁(35); 의혹(35),"조선일보: 기사 180건에서 키워드 531종을 추출했고 상위 키워드는 '대통령'(213회), '미국'(176회), '정부'(136회) 순입니다. 감성지수 +2.5로 긍정과 부정이 비슷한 수준합니다."
2026-09-21,카테고리,IT과학,100,323,7284,17,275,7,121,38.9,기술(161); 연구(152); 기업(136); 개발(128); 게임(103),안전(37); 참여(31); 확대(29),위험(33); 규제(27); 중단(18),"IT과학: 기사 100건에서 키워드 323종을 추출했고 상위 키워드는 '기술'(161회), '연구'(152회), '기업'(136회) 순입니다. 감성지수 +38.9로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-21,카테고리,경제,100,366,6788,21,444,6,102,62.6,금리(150); 시장(130); 농지(118); 지역(117); 가격(112),상승(81); 확대(57); 투자(37),부담(40); 불법(18); 제한(16),"경제: 기사 100건에서 키워드 366종을 추출했고 상위 키워드는 '금리'(150회), '시장'(130회), '농지'(118회) 순입니다. 감성지수 +62.6로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-21,카테고리,문화,100,373,5091,16,334,8,75,63.3,서울(76); 대구(74); 공연(67); 문화(64); 한국(64),공연(67); 지원(47); 안전(36),전쟁(20); 논란(17); 거부(7),"문화: 기사 100건에서 키워드 373종을 추출했고 상위 키워드는 '서울'(76회), '대구'(74회), '공연'(67회) 순입니다. 감성지수 +63.3로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-21,카테고리,사회,100,364,5025,14,307,20,204,20.2,서울(135); 지역(73); 지원(71); 도시(66); 운영(62),지원(71); 안전(52); 참여(47),파업(20); 소송(16); 혐의(13),"사회: 기사 100건에서 키워드 364종을 추출했고 상위 키워드는 '서울'(135회), '지역'(73회), '지원'(71회) 순입니다. 감성지수 +20.2로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-21,카테고리,세계,100,284,5985,12,276,10,132,35.3,한국(206); 일본(187); 게임(169); 아시안(167); 나고야(147),금메달(137); 우승(41); 승리(22),전쟁(29); 위험(28); 경고(23),"세계: 기사 100건에서 키워드 284종을 추출했고 상위 키워드는 '한국'(206회), '일본'(187회), '게임'(169회) 순입니다. 감성지수 +35.3로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-21,카테고리,이슈,100,381,6276,23,274,19,339,-10.6,후보자(120); 대통령(105); 금리(91); 정부(78); 대표(75),상승(31); 배당(24); 투자(23),의혹(65); 사퇴(54); 수사(31),"이슈: 기사 100건에서 키워드 381종을 추출했고 상위 키워드는 '후보자'(120회), '대통령'(105회), '금리'(91회) 순입니다. 감성지수 -10.6로 부정 어휘가 다소 우세합니다."
2026-09-21,카테고리,정치,100,327,6714,13,142,15,395,-47.1,대통령(253); 북한(191); 후보자(185); 발사(161); 의원(152),확보(30); 유치(15); 감사(15),의혹(83); 사퇴(77); 전쟁(46),"정치: 기사 100건에서 키워드 327종을 추출했고 상위 키워드는 '대통령'(253회), '북한'(191회), '후보자'(185회) 순입니다. 감성지수 -47.1로 부정 어휘가 뚜렷하게 우세합니다."
2026-09-21,카테고리,주요뉴스,200,353,7055,16,224,21,457,-34.2,대통령(207); 후보자(154); 국민(115); 의원(112); 금리(106),상승(44); 투자(37); 성장(23),의혹(83); 사퇴(76); 수사(42),"주요뉴스: 기사 200건에서 키워드 353종을 추출했고 상위 키워드는 '대통령'(207회), '후보자'(154회), '국민'(115회) 순입니다. 감성지수 -34.2로 부정 어휘가 뚜렷하게 우세합니다."
2026-09-21,신문사x카테고리,데일리안/IT과학,20,100,1653,6,84,1,9,80.6,고객(72); 콘텐츠(50); 기술(50); 활용(43); 게임(40),참여(20); 지원(18); 확대(14),공포(9),"데일리안/IT과학: 기사 20건에서 키워드 100종을 추출했고 상위 키워드는 '고객'(72회), '콘텐츠'(50회), '기술'(50회) 순입니다. 감성지수 +80.6로 긍정 어휘가 뚜렷하게 우세합니다."
