날짜,분석단위,대상,기사수,키워드종수,누적빈도,긍정단어수,긍정총빈도,부정단어수,부정총빈도,감성지수,상위키워드TOP5,대표긍정어TOP3,대표부정어TOP3,인사이트
2026-09-07,종합,전체,900,1463,51020,47,2391,56,2053,7.6,후보자(829); 장관(660); 미국(649); 의원(600); 정부(552),지원(411); 확대(247); 투자(204),의혹(214); 논란(178); 전쟁(177),"전체: 기사 900건에서 키워드 1463종을 추출했고 상위 키워드는 '후보자'(829회), '장관'(660회), '미국'(649회) 순입니다. 감성지수 +7.6로 긍정 어휘가 다소 우세합니다."
2026-09-07,신문사,데일리안,180,466,11640,19,460,24,608,-13.9,장관(298); 후보자(274); 의원(254); 담배(183); 국민(157),지원(67); 확대(65); 상승(61),의혹(104); 수사(71); 청탁(56),"데일리안: 기사 180건에서 키워드 466종을 추출했고 상위 키워드는 '장관'(298회), '후보자'(274회), '의원'(254회) 순입니다. 감성지수 -13.9로 부정 어휘가 다소 우세합니다."
2026-09-07,신문사,매일신문,180,486,9979,25,401,25,538,-14.6,후보자(250); 장관(190); 정부(178); 대통령(167); 의원(150),지원(59); 투자(35); 확대(30),논란(79); 의혹(63); 비판(41),"매일신문: 기사 180건에서 키워드 486종을 추출했고 상위 키워드는 '후보자'(250회), '장관'(190회), '정부'(178회) 순입니다. 감성지수 -14.6로 부정 어휘가 다소 우세합니다."
2026-09-07,신문사,문화일보,180,536,8613,22,428,23,357,9.0,미국(158); 한국(123); 지원(106); 의원(83); 이란(82),지원(106); 확대(41); 최대(32),전쟁(71); 피해(46); 논란(34),"문화일보: 기사 180건에서 키워드 536종을 추출했고 상위 키워드는 '미국'(158회), '한국'(123회), '지원'(106회) 순입니다. 감성지수 +9.0로 긍정 어휘가 다소 우세합니다."
2026-09-07,신문사,아시아경제,180,499,10970,20,617,17,233,45.2,여성(280); 기업(211); 미국(139); 지원(114); 한국(109),지원(114); 확대(70); 고용(65),격차(46); 수사(23); 의혹(18),"아시아경제: 기사 180건에서 키워드 499종을 추출했고 상위 키워드는 '여성'(280회), '기업'(211회), '미국'(139회) 순입니다. 감성지수 +45.2로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-07,신문사,조선일보,180,510,9818,23,485,22,317,20.9,후보자(207); 미국(181); 정부(143); 서울(109); 장관(108),투자(67); 지원(65); 성공(63),전쟁(60); 의혹(29); 수사(26),"조선일보: 기사 180건에서 키워드 510종을 추출했고 상위 키워드는 '후보자'(207회), '미국'(181회), '정부'(143회) 순입니다. 감성지수 +20.9로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-07,카테고리,IT과학,100,331,7064,18,406,4,37,83.3,기술(171); 기업(167); 로봇(114); 미국(105); 모델(102),투자(66); 최대(40); 확대(38),규제(13); 부담(9); 유출(8),"IT과학: 기사 100건에서 키워드 331종을 추출했고 상위 키워드는 '기술'(171회), '기업'(167회), '로봇'(114회) 순입니다. 감성지수 +83.3로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-07,카테고리,경제,100,339,6659,21,524,8,145,56.7,시장(113); 정부(94); 금융(93); 서울(92); 가격(91),상승(77); 확대(71); 지원(63),부담(45); 부채(31); 감소(22),"경제: 기사 100건에서 키워드 339종을 추출했고 상위 키워드는 '시장'(113회), '정부'(94회), '금융'(93회) 순입니다. 감성지수 +56.7로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-07,카테고리,문화,100,403,4974,24,332,8,50,73.8,작품(55); 지역(53); 한국(53); 작가(52); 서울(51),전시(35); 참여(31); 공연(27),피해(9); 마약(7); 규제(7),"문화: 기사 100건에서 키워드 403종을 추출했고 상위 키워드는 '작품'(55회), '지역'(53회), '한국'(53회) 순입니다. 감성지수 +73.8로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-07,카테고리,사회,100,363,5089,19,383,16,145,45.1,지역(85); 사업(85); 지원(81); 교육(79); 부산(71),지원(81); 안전(47); 확대(42),격차(17); 도박(14); 수사(14),"사회: 기사 100건에서 키워드 363종을 추출했고 상위 키워드는 '지역'(85회), '사업'(85회), '지원'(81회) 순입니다. 감성지수 +45.1로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-07,카테고리,세계,100,314,5505,8,117,25,329,-47.5,미국(209); 이란(175); 네팔(133); 대통령(98); 정부(93),지원(59); 확대(19); 투자(8),전쟁(59); 피해(41); 타격(21),"세계: 기사 100건에서 키워드 314종을 추출했고 상위 키워드는 '미국'(209회), '이란'(175회), '네팔'(133회) 순입니다. 감성지수 -47.5로 부정 어휘가 뚜렷하게 우세합니다."
