날짜,분석단위,대상,기사수,키워드종수,누적빈도,긍정단어수,긍정총빈도,부정단어수,부정총빈도,감성지수,상위키워드TOP5,대표긍정어TOP3,대표부정어TOP3,인사이트
2026-09-13,종합,전체,900,1387,45980,44,2257,49,1708,13.8,대통령(836); 미국(568); 의원(454); 기업(442); 가능(418),투자(184); 지원(177); 확대(162),수사(154); 전쟁(124); 하락(103),"전체: 기사 900건에서 키워드 1387종을 추출했고 상위 키워드는 '대통령'(836회), '미국'(568회), '의원'(454회) 순입니다. 감성지수 +13.8로 긍정 어휘가 다소 우세합니다."
2026-09-13,신문사,데일리안,180,465,10878,21,531,20,265,33.4,의원(179); 데일리안(163); 가능(133); 감독(125); 영화(109),협력(74); 지원(57); 확보(46),의혹(37); 수사(35); 논란(27),"데일리안: 기사 180건에서 키워드 465종을 추출했고 상위 키워드는 '의원'(179회), '데일리안'(163회), '가능'(133회) 순입니다. 감성지수 +33.4로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-13,신문사,매일신문,180,503,9528,23,457,24,498,-4.3,대통령(266); 기업(137); 의원(123); 미국(115); 개혁(113),투자(54); 지원(53); 확대(33),수사(70); 취소(50); 비판(46),"매일신문: 기사 180건에서 키워드 503종을 추출했고 상위 키워드는 '대통령'(266회), '기업'(137회), '의원'(123회) 순입니다. 감성지수 -4.3로 긍정과 부정이 비슷한 수준합니다."
2026-09-13,신문사,문화일보,180,499,6750,24,326,25,271,9.2,대통령(157); 후보자(82); 할인(78); 조사(74); 가능(71),상장(33); 확대(30); 지원(25),테러(31); 수사(30); 혐의(21),"문화일보: 기사 180건에서 키워드 499종을 추출했고 상위 키워드는 '대통령'(157회), '후보자'(82회), '할인'(78회) 순입니다. 감성지수 +9.2로 긍정 어휘가 다소 우세합니다."
2026-09-13,신문사,아시아경제,180,477,8906,28,614,12,125,66.2,시장(157); 미국(131); 기업(102); 타코(99); 연구(91),확대(66); 최대(48); 투자(46),전쟁(42); 갈등(18); 부담(14),"아시아경제: 기사 180건에서 키워드 477종을 추출했고 상위 키워드는 '시장'(157회), '미국'(131회), '기업'(102회) 순입니다. 감성지수 +66.2로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-13,신문사,조선일보,180,510,9918,19,329,34,549,-25.1,대통령(242); 미국(173); 트럼프(134); 중국(125); 정부(121),평화(49); 상승(42); 투자(33),부담(51); 전쟁(51); 테러(47),"조선일보: 기사 180건에서 키워드 510종을 추출했고 상위 키워드는 '대통령'(242회), '미국'(173회), '트럼프'(134회) 순입니다. 감성지수 -25.1로 부정 어휘가 뚜렷하게 우세합니다."
2026-09-13,카테고리,IT과학,100,331,6278,19,489,6,73,74.0,기업(175); 기술(120); 개발(94); 서비스(93); 연구(93),출시(67); 지원(58); 확대(50),위험(19); 유출(14); 규제(14),"IT과학: 기사 100건에서 키워드 331종을 추출했고 상위 키워드는 '기업'(175회), '기술'(120회), '개발'(94회) 순입니다. 감성지수 +74.0로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-13,카테고리,경제,100,352,6461,20,592,7,123,65.6,기업(166); 가격(111); 시장(102); 회장(96); 투자(91),투자(91); 상승(75); 확대(58),부담(44); 하락(23); 전쟁(23),"경제: 기사 100건에서 키워드 352종을 추출했고 상위 키워드는 '기업'(166회), '가격'(111회), '시장'(102회) 순입니다. 감성지수 +65.6로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-13,카테고리,문화,100,372,5484,16,256,2,31,78.4,감독(111); 영화(101); 작품(83); 주행(73); 작가(68),전시(30); 수상(29); 축제(29),전쟁(18); 위기(13),"문화: 기사 100건에서 키워드 372종을 추출했고 상위 키워드는 '감독'(111회), '영화'(101회), '작품'(83회) 순입니다. 감성지수 +78.4로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-13,카테고리,사회,100,348,4207,15,170,25,370,-37.0,혐의(66); 지역(66); 조사(64); 문화(60); 경찰(59),지원(30); 고용(23); 인정(15),혐의(66); 수사(45); 사고(35),"사회: 기사 100건에서 키워드 348종을 추출했고 상위 키워드는 '혐의'(66회), '지역'(66회), '조사'(64회) 순입니다. 감성지수 -37.0로 부정 어휘가 뚜렷하게 우세합니다."
