날짜,분석단위,대상,기사수,키워드종수,누적빈도,긍정단어수,긍정총빈도,부정단어수,부정총빈도,감성지수,상위키워드TOP5,대표긍정어TOP3,대표부정어TOP3,인사이트
2026-09-06,종합,전체,900,1429,47174,48,2374,49,1788,14.1,후보자(810); 미국(698); 대통령(455); 기업(451); 장관(432),지원(228); 투자(206); 확대(169),의혹(243); 전쟁(171); 혐의(143),"전체: 기사 900건에서 키워드 1429종을 추출했고 상위 키워드는 '후보자'(810회), '미국'(698회), '대통령'(455회) 순입니다. 감성지수 +14.1로 긍정 어휘가 다소 우세합니다."
2026-09-06,신문사,데일리안,180,491,10126,21,622,20,304,34.3,후보자(158); 이란(145); 데일리안(135); 대표(124); 사업(114),성장(111); 출시(69); 확대(62),수사(44); 의혹(44); 전쟁(31),"데일리안: 기사 180건에서 키워드 491종을 추출했고 상위 키워드는 '후보자'(158회), '이란'(145회), '데일리안'(135회) 순입니다. 감성지수 +34.3로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-06,신문사,매일신문,180,500,10177,27,378,27,539,-17.6,후보자(344); 오빠(125); 정부(124); 지역(122); 의원(119),투자(49); 지원(47); 최대(29),의혹(107); 혐의(67); 청탁(46),"매일신문: 기사 180건에서 키워드 500종을 추출했고 상위 키워드는 '후보자'(344회), '오빠'(125회), '정부'(124회) 순입니다. 감성지수 -17.6로 부정 어휘가 다소 우세합니다."
2026-09-06,신문사,문화일보,180,498,7131,23,338,24,410,-9.6,의원(96); 미국(92); 장관(80); 사건(80); 지명자(70),최대(44); 투자(33); 축제(30),혐의(45); 의혹(43); 기소(39),"문화일보: 기사 180건에서 키워드 498종을 추출했고 상위 키워드는 '의원'(96회), '미국'(92회), '장관'(80회) 순입니다. 감성지수 -9.6로 부정 어휘가 다소 우세합니다."
2026-09-06,신문사,아시아경제,180,451,9103,27,694,14,180,58.8,미국(202); 전기(142); 기업(142); 제품(100); 지역(93),확대(83); 증가(68); 투자(66),위험(39); 부담(20); 전쟁(20),"아시아경제: 기사 180건에서 키워드 451종을 추출했고 상위 키워드는 '미국'(202회), '전기'(142회), '기업'(142회) 순입니다. 감성지수 +58.8로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-06,신문사,조선일보,180,514,10637,15,342,17,355,-1.9,미국(212); 후보자(202); 한국(157); 이란(152); 장관(125),지원(77); 동맹(40); 투자(36),전쟁(106); 의혹(41); 기소(35),"조선일보: 기사 180건에서 키워드 514종을 추출했고 상위 키워드는 '미국'(212회), '후보자'(202회), '한국'(157회) 순입니다. 감성지수 -1.9로 긍정과 부정이 비슷한 수준합니다."
2026-09-06,카테고리,IT과학,100,340,6771,18,386,4,37,82.5,기업(146); 서비스(137); 기술(133); 모델(100); 전기(89),투자(74); 지원(51); 확대(38),규제(13); 부담(9); 유출(8),"IT과학: 기사 100건에서 키워드 340종을 추출했고 상위 키워드는 '기업'(146회), '서비스'(137회), '기술'(133회) 순입니다. 감성지수 +82.5로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-06,카테고리,경제,100,323,6092,25,628,6,73,79.2,미국(191); 기업(118); 시장(104); 생산(88); 규모(82),투자(80); 최대(65); 지원(64),전쟁(22); 부담(21); 적자(9),"경제: 기사 100건에서 키워드 323종을 추출했고 상위 키워드는 '미국'(191회), '기업'(118회), '시장'(104회) 순입니다. 감성지수 +79.2로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-06,카테고리,문화,100,406,5627,18,294,8,85,55.1,지역(82); 세계(71); 전기(64); 문화(60); 음악(57),성장(48); 확대(24); 전시(24),전쟁(36); 위험(9); 테러(8),"문화: 기사 100건에서 키워드 406종을 추출했고 상위 키워드는 '지역'(82회), '세계'(71회), '전기'(64회) 순입니다. 감성지수 +55.1로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-06,카테고리,사회,100,361,4470,18,246,17,336,-15.5,경찰(80); 차량(71); 불꽃(68); 혐의(64); 서울(57),축제(52); 안전(33); 참여(18),혐의(64); 사고(34); 범죄(31),"사회: 기사 100건에서 키워드 361종을 추출했고 상위 키워드는 '경찰'(80회), '차량'(71회), '불꽃'(68회) 순입니다. 감성지수 -15.5로 부정 어휘가 다소 우세합니다."
