날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-06,종합,전체 카테고리,부정,8,실종,58,3.24,49,1788,#8b2127,#d88485,Y
2026-09-06,종합,전체 카테고리,부정,9,위험,54,3.02,49,1788,#8e242a,#e59596,Y
2026-09-06,종합,전체 카테고리,부정,10,논란,53,2.96,49,1788,#91272e,#f2a6a6,Y
2026-09-06,종합,전체 카테고리,부정,11,사고,52,2.91,49,1788,#932a31,,N
2026-09-06,종합,전체 카테고리,부정,12,피해,50,2.8,49,1788,#952d34,,N
2026-09-06,종합,전체 카테고리,부정,13,부담,43,2.4,49,1788,#983137,,N
2026-09-06,종합,전체 카테고리,부정,14,압박,42,2.35,49,1788,#9a343a,,N
2026-09-06,종합,전체 카테고리,부정,15,범죄,39,2.18,49,1788,#9d373d,,N
2026-09-06,종합,전체 카테고리,부정,16,재판,34,1.9,49,1788,#a03b40,,N
2026-09-06,종합,전체 카테고리,부정,17,갈등,32,1.79,49,1788,#a23e43,,N
2026-09-06,종합,전체 카테고리,부정,18,규제,29,1.62,49,1788,#a44146,,N
2026-09-06,종합,전체 카테고리,부정,19,위반,27,1.51,49,1788,#a7454a,,N
2026-09-06,종합,전체 카테고리,부정,20,타격,26,1.45,49,1788,#aa484d,,N
2026-09-06,종합,전체 카테고리,부정,21,징역,25,1.4,49,1788,#ac4b50,,N
2026-09-06,종합,전체 카테고리,부정,22,구속,25,1.4,49,1788,#af4f53,,N
2026-09-06,종합,전체 카테고리,부정,23,취소,23,1.29,49,1788,#b15256,,N
2026-09-06,종합,전체 카테고리,부정,24,보복,22,1.23,49,1788,#b35559,,N
2026-09-06,종합,전체 카테고리,부정,25,흉기,17,0.95,49,1788,#b6585c,,N
2026-09-06,종합,전체 카테고리,부정,26,재난,16,0.89,49,1788,#b95b5f,,N
2026-09-06,종합,전체 카테고리,부정,27,중단,14,0.78,49,1788,#bb5e62,,N
2026-09-06,종합,전체 카테고리,부정,28,경고,13,0.73,49,1788,#be6266,,N
2026-09-06,종합,전체 카테고리,부정,29,사기,12,0.67,49,1788,#c06568,,N
2026-09-06,종합,전체 카테고리,부정,30,벌금,11,0.62,49,1788,#c2686b,,N
2026-09-06,종합,전체 카테고리,부정,31,침수,11,0.62,49,1788,#c56c6f,,N
2026-09-06,종합,전체 카테고리,부정,32,철회,10,0.56,49,1788,#c86f72,,N
2026-09-06,종합,전체 카테고리,부정,33,해고,10,0.56,49,1788,#ca7275,,N
2026-09-06,종합,전체 카테고리,부정,34,적자,9,0.5,49,1788,#cd7678,,N
2026-09-06,종합,전체 카테고리,부정,35,공방,8,0.45,49,1788,#cf797b,,N
2026-09-06,종합,전체 카테고리,부정,36,유출,8,0.45,49,1788,#d27c7e,,N
2026-09-06,종합,전체 카테고리,부정,37,테러,8,0.45,49,1788,#d47f81,,N
2026-09-06,종합,전체 카테고리,부정,38,붕괴,8,0.45,49,1788,#d78384,,N
2026-09-06,종합,전체 카테고리,부정,39,오염,8,0.45,49,1788,#d98687,,N
2026-09-06,종합,전체 카테고리,부정,40,부상,8,0.45,49,1788,#dc898b,,N
2026-09-06,종합,전체 카테고리,부정,41,부채,7,0.39,49,1788,#de8c8e,,N
2026-09-06,종합,전체 카테고리,부정,42,하락,7,0.39,49,1788,#e18f91,,N
2026-09-06,종합,전체 카테고리,부정,43,격차,7,0.39,49,1788,#e39394,,N
2026-09-06,종합,전체 카테고리,부정,44,체포,7,0.39,49,1788,#e69697,,N
2026-09-06,종합,전체 카테고리,부정,45,소송,6,0.34,49,1788,#e8999a,,N
2026-09-06,종합,전체 카테고리,부정,46,사망,6,0.34,49,1788,#eb9d9d,,N
2026-09-06,종합,전체 카테고리,부정,47,차질,6,0.34,49,1788,#eda0a0,,N
2026-09-06,종합,전체 카테고리,부정,48,폭력,5,0.28,49,1788,#f0a3a3,,N
2026-09-06,종합,전체 카테고리,부정,49,처벌,5,0.28,49,1788,#f2a6a6,,N
