날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-01,매일신문,경제,긍정,1,투자,46,18.7,12,246,#0d2b5c,#0d2b5c,Y
2026-09-01,매일신문,경제,긍정,2,최대,37,15.04,12,246,#1b3a69,#1e3d6c,Y
2026-09-01,매일신문,경제,긍정,3,지원,37,15.04,12,246,#294977,#2f4f7d,Y
2026-09-01,매일신문,경제,긍정,4,확대,30,12.2,12,246,#375884,#41628d,Y
2026-09-01,매일신문,경제,긍정,5,성장,18,7.32,12,246,#466792,#52749e,Y
2026-09-01,매일신문,경제,긍정,6,혜택,16,6.5,12,246,#54769f,#6387ae,Y
2026-09-01,매일신문,경제,긍정,7,신설,14,5.69,12,246,#6185ad,#7499bf,Y
2026-09-01,매일신문,경제,긍정,8,채용,11,4.47,12,246,#6f94ba,#86accf,Y
2026-09-01,매일신문,경제,긍정,9,안전,10,4.07,12,246,#7ea3c8,#97bee0,Y
2026-09-01,매일신문,경제,긍정,10,강화,9,3.66,12,246,#8cb2d5,#a8d0f0,Y
2026-09-01,매일신문,경제,긍정,11,상승,9,3.66,12,246,#9ac1e3,,N
2026-09-01,매일신문,경제,긍정,12,참여,9,3.66,12,246,#a8d0f0,,N
2026-09-01,매일신문,경제,부정,1,규제,9,100.0,1,9,#7a0a12,#7a0a12,Y
